Symbol
PLUG
FCEL
CCL
IEA
PLAY
RCL
SPCE
DKNG
CURLF
VYGVF
PRU
GPRO
ADSK
NAKD
ZNGA
KDP
CRM
BABA
BB
FDX
KODK
NOK
TNXP
KTRA
INND
DBKSF
MSGN
